results_dir,tag,dataset,resolution,mode,precision,batch_size,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,device,source,input_bank,sample_index,peak_ram_mb,avg_vdd_in_mw,peak_vdd_in_mw,avg_power_w,energy_per_inf_j
results/jetson_fno,burgers_fno_base_modes12_seed1_eager_fp32,burgers,[2048],eager,fp32,1,4.846296482719481,4.834515042603016,4.9323407001793385,5.084281321614981,4.736464004963636,5.111737176775932,cuda,artifacts/checkpoints/burgers_fno_base_modes12_seed1_best.pt,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2255,9731.921052631578,10625,9.731921052631579,0.047163774767472084
results/jetson_fno,burgers_fno_base_modes12_seed1_torchscript_fp32,burgers,[2048],torchscript,fp32,1,3.2067066431045532,3.207101020962,3.263757564127445,3.27732739970088,3.1211948953568935,3.2773897983133793,cuda,artifacts/torchscript/burgers_fno_base_modes12_seed1.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2282,9696.024390243903,10748,9.696024390243903,0.031092305823898898
results/jetson_fno,burgers_fno_base_modes16_seed2_eager_fp32,burgers,[2048],eager,fp32,1,4.971918757073581,4.964967491105199,5.041720811277628,5.056953057646751,4.861332941800356,5.104538053274155,cuda,artifacts/checkpoints/burgers_fno_base_modes16_seed2_best.pt,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2275,9724.076923076924,10666,9.724076923076924,0.048347320449072514
results/jetson_fno,burgers_fno_base_modes16_seed2_torchscript_fp32,burgers,[2048],torchscript,fp32,1,3.332369737327099,3.3295522443950176,3.3784168772399426,3.431987017393112,3.2652951776981354,3.447315189987421,cuda,artifacts/torchscript/burgers_fno_base_modes16_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2292,9687.214285714286,10789,9.687214285714287,0.032281379724717035
results/jetson_fno,burgers_fno_base_modes32_seed1_eager_fp32,burgers,[2048],eager,fp32,1,4.9040818540379405,4.885014379397035,5.060954950749874,5.219870246946812,4.804628901183605,5.228863097727299,cuda,artifacts/checkpoints/burgers_fno_base_modes32_seed1_best.pt,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2288,9740.947368421053,10789,9.740947368421054,0.04777040323061232
results/jetson_fno,burgers_fno_base_modes32_seed1_torchscript_fp32,burgers,[2048],torchscript,fp32,1,3.364997967146337,3.310353262349963,3.7030032835900784,3.871997818350792,3.229294903576374,4.375754855573177,cuda,artifacts/torchscript/burgers_fno_base_modes32_seed1.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2303,9698.585365853658,10830,9.698585365853658,0.032635720040292776
results/jetson_fno,burgers_fno_base_nocoords_seed0_eager_fp32,burgers,[2048],eager,fp32,1,4.5607176795601845,4.555040039122105,4.662001971155405,4.699827637523413,4.440397024154663,4.70869243144989,cuda,artifacts/checkpoints/burgers_fno_base_nocoords_seed0_best.pt,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2288,9762.864864864865,10871,9.762864864864865,0.044525670392346145
results/jetson_fno,burgers_fno_base_nocoords_seed0_torchscript_fp32,burgers,[2048],torchscript,fp32,1,3.199433758854866,3.192878793925047,3.2847533002495766,3.3175540156662464,3.111437428742647,3.3265138044953346,cuda,artifacts/torchscript/burgers_fno_base_nocoords_seed0.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2312,9698.024390243903,10789,9.698024390243903,0.03102818662834422
results/jetson_fno,burgers_fno_base_pad0_seed1_eager_fp32,burgers,[2048],eager,fp32,1,4.568207287229598,4.568753065541387,4.617329686880112,4.659347701817751,4.489583894610405,4.705332685261965,cuda,artifacts/checkpoints/burgers_fno_base_pad0_seed1_best.pt,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2321,9674.9,10379,9.6749,0.04419694868321763
results/jetson_fno,burgers_fno_base_pad0_seed1_torchscript_fp32,burgers,[2048],torchscript,fp32,1,2.963866349309683,2.9590653721243143,3.0241706408560276,3.0506039038300514,2.871367149055004,3.068365156650543,cuda,artifacts/torchscript/burgers_fno_base_pad0_seed1.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,0,2330,9646.707317073171,10379,9.64670731707317,0.02859155119871266
