field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,9008
input_dim,102
output_dim,4
dataset_build_time_s,5.269444465637207
single_sample_latency_ms,16.854047775268555
avg_latency_ms,13.318197421239917
p50_latency_ms,13.20195198059082
p95_latency_ms,13.938343524932861
total_inference_time_s,120.00869512557983
latency_s_per_iteration,0.013322457274154067
throughput_samples_per_s,75.06122777665254
throughput_from_latency_samples_per_s,75.08523626517173
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
avg_power_w,18.34029977460556
median_power_w,18.253
peak_power_w,19.474
energy_j_total,2569.278368156173
energy_j_per_sample_est,0.24425973316291877
energy_j_per_sample_from_total,0.28522184371183096
edp_j_s,0.003253099348323135
avg_gpu_util_pct,91.91435011269722
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,13.373779113448535
avg_ram_used_mb,4844.239669421488
peak_ram_used_mb,4858.0
ram_total_mb,7620.0
max_temp_c,74.375
peak_gpu_mem_mb,103.52001953125
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/logs/tegrastats_sustained120_layer2_tf32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_tf32_r3/logs/virso_inference_sustained120_layer2_tf32_r3.log
Tegrastats_time_stamps_count,1331
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,303.23828125
cuda_mem_get_info_delta_from_program_start_mb,1052.62109375
cuda_mem_get_info_peak_used_mb,4826.953125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3845.57421875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3774.33203125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3605.1953125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4014.7109375}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3096.19140625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4523.71484375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3096.19140625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4523.71484375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3096.19140625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4523.71484375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 15.8427734375, ""reserved_mb"": 148.0, ""max_alloc_mb"": 103.52001953125, ""max_reserved_mb"": 148.0, ""mem_get_info_free_mb"": 2792.953125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4826.953125}]"
cuda_peak_alloc_mb,103.52001953125
cuda_peak_reserved_mb,148.0
