field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.834739685058594
single_sample_latency_ms,860.4648113250732
avg_latency_ms,569.5578782789169
p50_latency_ms,575.0097036361694
p95_latency_ms,584.0055584907532
total_inference_time_s,177.03673386573792
latency_s_per_iteration,0.5710862382765739
throughput_samples_per_s,1.7510490237302925
throughput_from_latency_samples_per_s,1.7557478144658238
avg_total_loss,0.0436970018075719
avg_pressure_loss,0.00481233510579313
avg_vx_loss,0.009356000689008544
avg_vy_loss,0.00914516553523079
avg_vz_loss,0.0077581949697266665
avg_power_w,8.40017305458769
median_power_w,8.381
peak_power_w,9.681
energy_j_total,1485.243238443852
energy_j_per_sample_est,4.784384742146693
energy_j_per_sample_from_total,4.791107220786619
edp_j_s,2.724984022607093
avg_gpu_util_pct,35.743321718931476
peak_gpu_util_pct,79.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.52419667053813
avg_ram_used_mb,5551.277584204414
peak_ram_used_mb,5616.0
ram_total_mb,7620.0
max_temp_c,56.75
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/logs/tegrastats_completion_full_tf32_r5.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/logs/virso_inference_completion_full_tf32_r5.log
Tegrastats_time_stamps_count,861
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,176.81200003623962
embed,1
inference_elapsed_wall_s,177.03673386573792
inference_end_wall_s,1781161155.7053356
inference_start_wall_s,1781160978.6686018
k_neighbors,30
max_mode,64
mean_dt_s,0.2055953488793484
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
precision_mode,tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r5
run_ts,completion_full_tf32_r5
spatial,1
spectral,1
spectral_skip,1
tf32_cudnn_allowed,1
tf32_matmul_allowed,1
width,48
