field,value
run_ts,precision_spectral_bf16_20260611_074958
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.794626235961914
single_sample_latency_ms,220.04032135009766
avg_latency_ms,47.756834953062
p50_latency_ms,46.71049118041992
p95_latency_ms,49.44113492965698
total_inference_time_s,15.104624271392822
inference_start_wall_s,1781135412.1780994
inference_end_wall_s,1781135427.2827237
inference_elapsed_wall_s,15.104624271392822
latency_s_per_iteration,0.048724594423847814
avg_total_loss,0.18378491036954425
avg_pressure_loss,0.012091763684105488
avg_vx_loss,0.051442063539739576
avg_vy_loss,0.04918138853484585
avg_vz_loss,0.03959069890120337
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_precision_smoke_20260611_074628/precision_spectral_bf16_20260611_074958/logs/virso_inference_precision_spectral_bf16_20260611_074958.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
