field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.8089892864227295
single_sample_latency_ms,481.08983039855957
avg_latency_ms,108.58491697619039
p50_latency_ms,117.63978004455566
p95_latency_ms,120.528244972229
total_inference_time_s,34.189950942993164
latency_s_per_iteration,0.11029016433223601
throughput_samples_per_s,9.066991658364193
throughput_from_latency_samples_per_s,9.209382185366241
avg_total_loss,0.10075932105762823
avg_pressure_loss,0.013766157912511017
avg_vx_loss,0.02108178033583587
avg_vy_loss,0.02229071496234786
avg_vz_loss,0.01806096832358068
avg_power_w,8.469343373493976
median_power_w,8.34
peak_power_w,9.23
energy_j_total,287.5611951944828
energy_j_per_sample_est,0.9196429470536915
energy_j_per_sample_from_total,0.9276167586918801
edp_j_s,0.09985935305356414
avg_gpu_util_pct,37.524096385542165
peak_gpu_util_pct,62.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,38.70180722891566
avg_ram_used_mb,5618.975903614458
peak_ram_used_mb,5729.0
ram_total_mb,7620.0
max_temp_c,55.656
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/logs/tegrastats_bench2_layer2_ampfp16_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/logs/virso_inference_bench2_layer2_ampfp16_r3.log
Tegrastats_time_stamps_count,166
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
elapsed_s,33.967000007629395
embed,1
inference_elapsed_wall_s,34.189950942993164
inference_end_wall_s,1781156110.5212424
inference_start_wall_s,1781156076.3312914
k_neighbors,30
max_mode,40
mean_dt_s,0.2058606061068448
model_checkpoint_name,best_model_2_layer.pth
num_layers,2
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r3
run_ts,bench2_layer2_ampfp16_r3
spatial,1
spectral,1
spectral_skip,1
width,48
