field,value
run_ts,official_spectral_bf16_r2
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.4479734897613525
single_sample_latency_ms,178.64179611206055
avg_latency_ms,20.748066902160645
p50_latency_ms,19.11771297454834
p95_latency_ms,29.10056114196778
total_inference_time_s,6.5478150844573975
inference_start_wall_s,1781333903.067477
inference_end_wall_s,1781333909.615292
inference_elapsed_wall_s,6.5478150844573975
latency_s_per_iteration,0.02112198414341096
avg_total_loss,0.18378491036954425
avg_pressure_loss,0.012091763684105488
avg_vx_loss,0.051442063539739576
avg_vy_loss,0.04918138853484585
avg_vz_loss,0.03959069890120337
peak_gpu_mem_mb,26.9306640625
cuda_peak_alloc_mb,26.9306640625
cuda_peak_reserved_mb,38.0
cuda_mem_get_info_peak_used_mb,4579.0703125
cuda_mem_get_info_delta_from_program_start_mb,1144.16015625
cuda_mem_get_info_delta_from_after_model_load_mb,347.515625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4184.97265625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3434.91015625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3934.01953125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3685.86328125}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3388.328125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4231.5546875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 14.1884765625, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.2431640625, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3224.65234375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4395.23046875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 14.1884765625, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.1884765625, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3224.65234375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4395.23046875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 21.14453125, ""reserved_mb"": 36.0, ""max_alloc_mb"": 26.9296875, ""max_reserved_mb"": 36.0, ""mem_get_info_free_mb"": 3074.19140625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4545.69140625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 14.189453125, ""reserved_mb"": 38.0, ""max_alloc_mb"": 26.9306640625, ""max_reserved_mb"": 38.0, ""mem_get_info_free_mb"": 3040.8125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4579.0703125}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/logs/tegrastats_official_spectral_bf16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r2/logs/virso_inference_official_spectral_bf16_r2.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
