field,value
run_ts,virso_spectral_tf32_20260611_134949
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.121446132659912
single_sample_latency_ms,326.4787197113037
avg_latency_ms,62.40415188574022
p50_latency_ms,61.2407922744751
p95_latency_ms,64.31273221969604
total_inference_time_s,19.747217416763306
inference_start_wall_s,1781157003.9907453
inference_end_wall_s,1781157023.7379627
inference_elapsed_wall_s,19.747217416763306
latency_s_per_iteration,0.06370070134439776
avg_total_loss,0.046457015015485305
avg_pressure_loss,0.005587052764190781
avg_vx_loss,0.010500800510447833
avg_vy_loss,0.009728348432409186
avg_vz_loss,0.007623707859085933
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/virso_missing_tf32_native_20260611_134627/virso_spectral_tf32_20260611_134949/logs/virso_inference_virso_spectral_tf32_20260611_134949.log
precision_mode,tf32
tf32_matmul_allowed,1
tf32_cudnn_allowed,1
amp_mode,off
amp_resolved_dtype,None
