field,value
run_ts,sustained120_spectral_fp16_autocast_r3
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,9790
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.142276763916016
single_sample_latency_ms,14.046192169189453
avg_latency_ms,12.254950973425018
p50_latency_ms,12.249350547790527
p95_latency_ms,12.418270111083984
total_inference_time_s,120.00975036621094
inference_start_wall_s,1785797173.5468318
inference_end_wall_s,1785797293.5565822
inference_elapsed_wall_s,120.00975036621094
latency_s_per_iteration,0.012258401467437277
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
peak_gpu_mem_mb,26.91455078125
cuda_peak_alloc_mb,26.91455078125
cuda_peak_reserved_mb,38.0
cuda_mem_get_info_peak_used_mb,4582.39453125
cuda_mem_get_info_delta_from_program_start_mb,1008.25390625
cuda_mem_get_info_delta_from_after_model_load_mb,234.6328125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4045.765625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3574.140625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3811.6015625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3808.3046875}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3272.14453125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4347.76171875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3272.14453125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4347.76171875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.0634765625, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.0634765625, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3272.14453125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4347.76171875}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 20.91455078125, ""reserved_mb"": 38.0, ""max_alloc_mb"": 26.91455078125, ""max_reserved_mb"": 38.0, ""mem_get_info_free_mb"": 3037.51171875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4582.39453125}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/logs/tegrastats_sustained120_spectral_fp16_autocast_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_spectral_fp16_autocast_r3/logs/virso_inference_sustained120_spectral_fp16_autocast_r3.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
