field,value
run_ts,sustained120_full_fp16_autocast_r3
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,1781
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.179059267044067
single_sample_latency_ms,69.99015808105469
avg_latency_ms,67.40243886040544
p50_latency_ms,67.00801849365234
p95_latency_ms,69.72336769104004
total_inference_time_s,120.05634641647339
inference_start_wall_s,1785795079.7377646
inference_end_wall_s,1785795199.794111
inference_elapsed_wall_s,120.05634641647339
latency_s_per_iteration,0.06740951511312375
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
peak_gpu_mem_mb,85.87744140625
cuda_peak_alloc_mb,85.87744140625
cuda_peak_reserved_mb,118.0
cuda_mem_get_info_peak_used_mb,4722.36328125
cuda_mem_get_info_delta_from_program_start_mb,1177.16796875
cuda_mem_get_info_delta_from_after_model_load_mb,405.91796875
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4074.7109375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3545.1953125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3832.21875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3787.6875}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3303.4609375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4316.4453125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3303.4609375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4316.4453125}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3303.4609375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4316.4453125}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 21.2451171875, ""reserved_mb"": 118.0, ""max_alloc_mb"": 85.87744140625, ""max_reserved_mb"": 118.0, ""mem_get_info_free_mb"": 2897.54296875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4722.36328125}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/logs/tegrastats_sustained120_full_fp16_autocast_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_full_fp16_autocast_r3/logs/virso_inference_sustained120_full_fp16_autocast_r3.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
