field,value
run_ts,s7_full_fp32_r1
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.380852937698364
single_sample_latency_ms,506.56819343566895
avg_latency_ms,85.17330077386671
p50_latency_ms,82.7035903930664
p95_latency_ms,97.139573097229
total_inference_time_s,26.56398320198059
inference_start_wall_s,1781329821.8997827
inference_end_wall_s,1781329848.4637659
inference_elapsed_wall_s,26.56398320198059
latency_s_per_iteration,0.08569026839348577
avg_total_loss,0.04205924066895198
avg_pressure_loss,0.004750879427358028
avg_vx_loss,0.00889648013718186
avg_vy_loss,0.00871052802089722
avg_vz_loss,0.007234762162871418
peak_gpu_mem_mb,108.9375
cuda_peak_alloc_mb,108.9375
cuda_peak_reserved_mb,154.0
cuda_mem_get_info_peak_used_mb,5245.93359375
cuda_mem_get_info_delta_from_program_start_mb,1078.8125
cuda_mem_get_info_delta_from_after_model_load_mb,307.828125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3452.76171875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4167.12109375}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3203.33203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4416.55078125}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 2681.77734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4938.10546875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 2681.77734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4938.10546875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 2681.77734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4938.10546875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 21.4443359375, ""reserved_mb"": 152.0, ""max_alloc_mb"": 108.9375, ""max_reserved_mb"": 152.0, ""mem_get_info_free_mb"": 2373.94921875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 5245.93359375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 14.52001953125, ""reserved_mb"": 154.0, ""max_alloc_mb"": 108.9375, ""max_reserved_mb"": 154.0, ""mem_get_info_free_mb"": 2677.6640625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4942.21875}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/logs/tegrastats_s7_full_fp32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/logs/virso_inference_s7_full_fp32_r1.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
