field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.183704614639282
single_sample_latency_ms,349.048376083374
avg_latency_ms,19.95113511239329
p50_latency_ms,18.825531005859375
p95_latency_ms,19.18114423751831
total_inference_time_s,6.277423143386841
latency_s_per_iteration,0.020249752075441423
throughput_samples_per_s,49.383320658665454
throughput_from_latency_samples_per_s,50.12246142219837
avg_total_loss,0.10076053032291031
avg_pressure_loss,0.013766624451044106
avg_vx_loss,0.021081263535926417
avg_vy_loss,0.02229230506045203
avg_vz_loss,0.018061513003082046
avg_power_w,13.734866666666667
median_power_w,14.246
peak_power_w,14.368
energy_j_total,81.59697320914269
energy_j_per_sample_est,0.2740261806173735
energy_j_per_sample_from_total,0.2632160426101377
edp_j_s,0.005467133353830305
avg_gpu_util_pct,68.16666666666667
peak_gpu_util_pct,80.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,11.544444444444444
avg_ram_used_mb,3956.1666666666665
peak_ram_used_mb,3981.0
ram_total_mb,7620.0
max_temp_c,52.156
peak_gpu_mem_mb,77.927734375
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/logs/tegrastats_perturb_layer2_fp16_autocast_r3.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_fp16_autocast_r3/logs/virso_inference_perturb_layer2_fp16_autocast_r3.log
Tegrastats_time_stamps_count,30
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,497.5078125
cuda_mem_get_info_delta_from_program_start_mb,1266.11328125
cuda_mem_get_info_peak_used_mb,4112.90625
