field,value
run_ts,sustained120_layer2_fp16_autocast_r1
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,7972
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.500511407852173
single_sample_latency_ms,18.15199851989746
avg_latency_ms,15.049370789850888
p50_latency_ms,14.956831932067871
p95_latency_ms,15.601134300231934
total_inference_time_s,120.00651574134827
inference_start_wall_s,1785798919.9541523
inference_end_wall_s,1785799039.960668
inference_elapsed_wall_s,120.00651574134827
latency_s_per_iteration,0.015053501723701488
avg_total_loss,nan
avg_pressure_loss,nan
avg_vx_loss,nan
avg_vy_loss,nan
avg_vz_loss,nan
peak_gpu_mem_mb,77.91259765625
cuda_peak_alloc_mb,77.91259765625
cuda_peak_reserved_mb,108.0
cuda_mem_get_info_peak_used_mb,4951.08984375
cuda_mem_get_info_delta_from_program_start_mb,1162.30859375
cuda_mem_get_info_delta_from_after_model_load_mb,415.3828125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3831.125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 3788.78125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3593.52734375, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4026.37890625}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3084.19921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4535.70703125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3084.19921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4535.70703125}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3084.19921875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4535.70703125}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 15.8427734375, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.91259765625, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 2668.81640625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4951.08984375}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/logs/tegrastats_sustained120_layer2_fp16_autocast_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/sustained120_virso_20260804_053842/sustained120_layer2_fp16_autocast_r1/logs/virso_inference_sustained120_layer2_fp16_autocast_r1.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
