field,value
run_ts,completion_layer2_tf32_r2
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.807857275009155
single_sample_latency_ms,461.69567108154297
avg_latency_ms,127.94236521567068
p50_latency_ms,128.06522846221924
p95_latency_ms,131.37586116790771
total_inference_time_s,40.12642955780029
inference_start_wall_s,1781162759.7418232
inference_end_wall_s,1781162799.8682528
inference_elapsed_wall_s,40.12642955780029
latency_s_per_iteration,0.12944009534774287
avg_total_loss,0.09848635652433
avg_pressure_loss,0.013682389586803413
avg_vx_loss,0.02030985855287121
avg_vy_loss,0.021616027768581143
avg_vz_loss,0.017456155745012143
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/logs/tegrastats_completion_layer2_tf32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_tf32_r2/logs/virso_inference_completion_layer2_tf32_r2.log
precision_mode,tf32
tf32_matmul_allowed,1
tf32_cudnn_allowed,1
amp_mode,off
amp_resolved_dtype,None
