field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.826907157897949
single_sample_latency_ms,919.1346168518066
avg_latency_ms,564.2830664111722
p50_latency_ms,568.543553352356
p95_latency_ms,580.7619094848633
total_inference_time_s,175.38200640678406
latency_s_per_iteration,0.5657484077638195
throughput_samples_per_s,1.7675701535822361
throughput_from_latency_samples_per_s,1.7721602144823836
avg_total_loss,0.0436945247148434
avg_pressure_loss,0.0048121897999437585
avg_vx_loss,0.009354619621749848
avg_vy_loss,0.009144963813765394
avg_vz_loss,0.007757832383316371
avg_power_w,8.398730363423212
median_power_w,8.381
peak_power_w,9.681
energy_j_total,1471.4794438307297
energy_j_per_sample_est,4.739261323433069
energy_j_per_sample_from_total,4.746707883324935
edp_j_s,2.674284912110682
avg_gpu_util_pct,35.52168815943728
peak_gpu_util_pct,79.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.25009769441188
avg_ram_used_mb,5538.025791324736
peak_ram_used_mb,5606.0
ram_total_mb,7620.0
max_temp_c,56.781
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/logs/tegrastats_completion_full_tf32_r4.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/logs/virso_inference_completion_full_tf32_r4.log
Tegrastats_time_stamps_count,853
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,175.2020001411438
embed,1
inference_elapsed_wall_s,175.38200640678406
inference_end_wall_s,1781160942.3427901
inference_start_wall_s,1781160766.9607837
k_neighbors,30
max_mode,64
mean_dt_s,0.20563615040040353
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
precision_mode,tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r4
run_ts,completion_full_tf32_r4
spatial,1
spectral,1
spectral_skip,1
tf32_cudnn_allowed,1
tf32_matmul_allowed,1
width,48
