field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.255223751068115
single_sample_latency_ms,289.6289825439453
avg_latency_ms,17.2247379056869
p50_latency_ms,15.07270336151123
p95_latency_ms,26.571702957153324
total_inference_time_s,5.4453284740448
latency_s_per_iteration,0.01756557572272516
throughput_samples_per_s,56.929531703664416
throughput_from_latency_samples_per_s,58.056035771077894
avg_total_loss,0.04538138984822698
avg_pressure_loss,0.005531021428384608
avg_vx_loss,0.010204133760905074
avg_vy_loss,0.009447210438309176
avg_vz_loss,0.00727166244459729
avg_power_w,10.389777777777777
median_power_w,10.854
peak_power_w,11.182
energy_j_total,55.388628301382056
energy_j_per_sample_est,0.17896119912055228
energy_j_per_sample_from_total,0.17867299452058727
edp_j_s,0.0030825597501389582
avg_gpu_util_pct,67.96296296296296
peak_gpu_util_pct,95.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,41.98148148148148
avg_ram_used_mb,4476.592592592592
peak_ram_used_mb,4492.0
ram_total_mb,7620.0
max_temp_c,59.875
peak_gpu_mem_mb,29.26416015625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/logs/tegrastats_s7_spectral_fp32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_spectral_fp32_r2/logs/virso_inference_s7_spectral_fp32_r2.log
Tegrastats_time_stamps_count,27
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,215.98046875
cuda_mem_get_info_delta_from_program_start_mb,999.35546875
cuda_mem_get_info_peak_used_mb,4551.390625
