field,value
run_ts,official_layer2_fp16_autocast_r2
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.2865989208221436
single_sample_latency_ms,450.6351947784424
avg_latency_ms,30.04201304528021
p50_latency_ms,27.298450469970703
p95_latency_ms,38.02419900894165
total_inference_time_s,9.466340065002441
inference_start_wall_s,1781334578.133818
inference_end_wall_s,1781334587.600158
inference_elapsed_wall_s,9.466340065002441
latency_s_per_iteration,0.030536580854846587
avg_total_loss,0.10075821197862106
avg_pressure_loss,0.013765933391668143
avg_vx_loss,0.021082458548968838
avg_vy_loss,0.022290802194226172
avg_vz_loss,0.01805998010020102
peak_gpu_mem_mb,77.927734375
cuda_peak_alloc_mb,77.927734375
cuda_peak_reserved_mb,108.0
cuda_mem_get_info_peak_used_mb,4715.98046875
cuda_mem_get_info_delta_from_program_start_mb,1265.625
cuda_mem_get_info_delta_from_after_model_load_mb,501.8671875
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4169.52734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3450.35546875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3920.421875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3699.4609375}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3405.76953125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4214.11328125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3405.76953125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4214.11328125}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3405.76953125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4214.11328125}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 16.07275390625, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.927734375, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 2939.83203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4680.05078125}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 9.11767578125, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.927734375, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 2903.90234375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4715.98046875}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/logs/tegrastats_official_layer2_fp16_autocast_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r2/logs/virso_inference_official_layer2_fp16_autocast_r2.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
