field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.754231691360474
single_sample_latency_ms,333.3258628845215
avg_latency_ms,59.6446160347231
p50_latency_ms,59.22234058380127
p95_latency_ms,62.35044002532959
total_inference_time_s,18.822493314743042
latency_s_per_iteration,0.060717720370138846
throughput_samples_per_s,16.46965653361062
throughput_from_latency_samples_per_s,16.76597263058636
avg_total_loss,0.046457015015485305
avg_pressure_loss,0.005587052764190781
avg_vx_loss,0.010500800510447833
avg_vy_loss,0.009728348432409186
avg_vz_loss,0.007623707859085933
avg_power_w,8.319369565217391
median_power_w,8.34
peak_power_w,8.464
energy_j_total,155.6931502549648
energy_j_per_sample_est,0.4962056033683525
energy_j_per_sample_from_total,0.5022359685644026
edp_j_s,0.02959599268718349
avg_gpu_util_pct,31.391304347826086
peak_gpu_util_pct,40.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,41.108695652173914
avg_ram_used_mb,5096.271739130435
peak_ram_used_mb,5194.0
ram_total_mb,7620.0
max_temp_c,55.25
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/logs/tegrastats_completion_spectral_tf32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/logs/virso_inference_completion_spectral_tf32_r2.log
Tegrastats_time_stamps_count,92
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,18.71500015258789
embed,1
inference_elapsed_wall_s,18.822493314743042
inference_end_wall_s,1781162440.7446806
inference_start_wall_s,1781162421.9221873
k_neighbors,30
max_mode,64
mean_dt_s,0.20565934233613067
model_checkpoint_name,best_model_spectral.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
precision_mode,tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_tf32_r2
run_ts,completion_spectral_tf32_r2
spatial,0
spectral,1
spectral_skip,1
tf32_cudnn_allowed,1
tf32_matmul_allowed,1
width,48
