field,value
run_ts,bench2_full_fp32_feas_r1
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.42073130607605
single_sample_latency_ms,985.7525825500488
avg_latency_ms,456.2478665382631
p50_latency_ms,478.45458984375
p95_latency_ms,524.4856119155884
total_inference_time_s,142.0098853111267
inference_start_wall_s,1779657343.490815
inference_end_wall_s,1779657485.5007002
inference_elapsed_wall_s,142.0098853111267
latency_s_per_iteration,0.458096404229441
avg_total_loss,0.04205924099040849
avg_pressure_loss,0.004750879068348196
avg_vx_loss,0.008896482092959266
avg_vy_loss,0.008710527047514915
avg_vz_loss,0.007234762179394883
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/logs/tegrastats_bench2_full_fp32_feas_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1/logs/virso_inference_bench2_full_fp32_feas_r1.log
amp_mode,off
amp_resolved_dtype,None
