field,value
run_ts,completion_layer2_bf16_r2
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.608916282653809
single_sample_latency_ms,390.49506187438965
avg_latency_ms,130.18462119563932
p50_latency_ms,138.66829872131348
p95_latency_ms,141.55353307724
total_inference_time_s,41.148766040802
inference_start_wall_s,1781162989.0005033
inference_end_wall_s,1781163030.1492693
inference_elapsed_wall_s,41.148766040802
latency_s_per_iteration,0.13273795497032903
avg_total_loss,0.2065248608529087
avg_pressure_loss,0.018445650265822486
avg_vx_loss,0.05516007630334747
avg_vy_loss,0.055768692373268064
avg_vz_loss,0.04046850872616614
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/logs/tegrastats_completion_layer2_bf16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_layer2_bf16_r2/logs/virso_inference_completion_layer2_bf16_r2.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
